,price,surface,bedrooms,restrooms,location_name,tiene_ascensor,tiene_parking,tiene_piscina,tiene_terraza,es_costa,es_montana
493,1400,120,4,2,A Coruña,0,0,0,0,1,0
494,500,60,2,1,A Coruña,1,0,0,0,1,0
495,800,100,4,1,A Coruña,0,0,0,0,1,0
496,410,65,2,1,A Coruña,0,0,0,0,1,0
497,550,80,2,2,A Coruña,1,0,0,0,1,0
498,480,75,3,1,A Coruña,1,0,0,0,1,0
499,390,90,3,1,A Coruña,0,0,0,0,1,0
500,480,95,2,2,A Coruña,1,0,0,0,1,0
501,330,80,3,1,A Coruña,0,0,0,0,1,0
502,600,150,3,2,A Coruña,0,0,0,1,1,0
503,300,100,2,1,A Coruña,0,0,0,0,1,0
504,550,124,3,2,A Coruña,0,0,0,0,1,0
505,575,75,3,1,A Coruña,1,0,0,1,1,0
506,400,90,2,2,A Coruña,1,0,0,0,1,0
507,465,70,2,2,A Coruña,1,0,0,0,1,0
