id;title;status;release_date;revenue;runtime;adult;budget;imdb_id;original_language;original_title;genre;averageRating;year;nominees;awards;ROI
43923;It's Kind of a Funny Story;Released;08/10/2010;6491240;102;FALSO;8000000;tt0804497;en;It's Kind of a Funny Story;Comedy;71;2010.0;0.0;0.0;0.811405
18501;Gamer;Released;03/09/2009;40828540;95;FALSO;50000000;tt1034032;en;Gamer;Action;57;2009.0;0.0;0.0;0.8165708
553;Dogville;Released;19/05/2003;16680836;178;FALSO;10000000;tt0276919;en;Dogville;Crime;80;2003.0;0.0;0.0;1.6680836
376866;Jackie;Released;02/12/2016;13960394;100;FALSO;9000000;tt1619029;en;Jackie;Drama;66;2016.0;3.0;0.0;1.5511548888888889
112949;Safe Haven;Released;07/02/2013;97594140;115;FALSO;28000000;tt1702439;en;Safe Haven;Romance;67;2013.0;0.0;0.0;3.485505
82703;Mr. Peabody & Sherman;Released;07/02/2014;272912430;92;FALSO;145000000;tt0864835;en;Mr. Peabody & Sherman;Animation;68;2014.0;0.0;0.0;1.8821546896551724
10665;The Strangers;Released;29/05/2008;82391145;86;FALSO;9000000;tt0482606;en;The Strangers;Horror;61;2008.0;0.0;0.0;9.154571666666667
10358;Zack and Miri Make a Porno;Released;18/09/2008;42105111;102;FALSO;24000000;tt1007028;en;Zack and Miri Make a Porno;Comedy;65;2008.0;0.0;0.0;1.754379625
531428;Portrait of a Lady on Fire;Released;17/06/2019;9923127;120;FALSO;5740000;tt8613070;fr;Portrait de la jeune fille en feu;Drama;80;2019.0;0.0;0.0;1.7287677700348432
290512;The Mountain Between Us;Released;05/10/2017;62832209;109;FALSO;35000000;tt2226597;en;The Mountain Between Us;Drama;64;2017.0;0.0;0.0;1.7952059714285715
8374;The Boondock Saints;Released;22/01/1999;50000000;108;FALSO;6000000;tt0144117;en;The Boondock Saints;Action;76;1999.0;0.0;0.0;8.333333333333334
63492;What's Your Number?;Released;30/09/2011;30426096;106;FALSO;20000000;tt0770703;en;What's Your Number?;Comedy;61;2011.0;0.0;0.0;1.5213048
9482;Judge Dredd;Released;30/06/1995;113493481;96;FALSO;90000000;tt0113492;en;Judge Dredd;Science Fiction;56;1995.0;0.0;0.0;1.2610386777777778
8470;John Q;Released;15/02/2002;102244770;116;FALSO;36000000;tt0251160;en;John Q;Drama;71;2002.0;0.0;0.0;2.8401325
9894;The Cable Guy;Released;10/06/1996;102825796;96;FALSO;47000000;tt0115798;en;The Cable Guy;Comedy;61;1996.0;0.0;0.0;2.187782893617021
9574;Flubber;Released;26/11/1997;177977226;93;FALSO;80000000;tt0119137;en;Flubber;Comedy;53;1997.0;0.0;0.0;2.224715325
10494;Perfect Blue;Released;28/02/1998;112536;81;FALSO;830000;tt0156887;ja;PERFECT BLUE;Animation;80;1998.0;0.0;0.0;0.1355855421686747
228165;The SpongeBob Movie: Sponge Out of Water;Released;28/01/2015;311594032;93;FALSO;74000000;tt2279373;en;The SpongeBob Movie: Sponge Out of Water;Family;60;2015.0;0.0;0.0;4.210730162162162
301351;We Are Your Friends;Released;26/08/2015;11122090;96;FALSO;6000000;tt3787590;en;We Are Your Friends;Drama;62;2015.0;0.0;0.0;1.8536816666666667
9645;Ghost Ship;Released;25/10/2002;68349884;91;FALSO;35000000;tt0288477;en;Ghost Ship;Horror;56;2002.0;0.0;0.0;1.9528538285714285
167;K-PAX;Released;22/10/2001;50315140;120;FALSO;48000000;tt0272152;en;K-PAX;Science Fiction;74;2001.0;0.0;0.0;1.0482320833333334
418078;It Comes at Night;Released;09/06/2017;19280931;91;FALSO;5000000;tt4695012;en;It Comes at Night;Drama;61;2017.0;0.0;0.0;3.8561862
13597;Labyrinth;Released;27/06/1986;12729917;102;FALSO;25000000;tt0091369;en;Labyrinth;Adventure;73;1986.0;0.0;0.0;0.50919668
8328;Step Up 2: The Streets;Released;14/02/2008;150816700;98;FALSO;23000000;tt1023481;en;Step Up 2: The Streets;Music;62;2008.0;0.0;0.0;6.557247826086956
19898;Pandorum;Released;08/09/2009;20648328;108;FALSO;33000000;tt1188729;en;Pandorum;Action;67;2009.0;0.0;0.0;0.6257069090909091
9007;Just Like Heaven;Released;16/09/2005;102854431;95;FALSO;58000000;tt0425123;en;Just Like Heaven;Drama;67;2005.0;0.0;0.0;1.7733522586206896
132344;Before Midnight;Released;05/04/2013;11176469;109;FALSO;3000000;tt2209418;en;Before Midnight;Romance;79;2013.0;1.0;0.0;3.725489666666667
12556;Ghosts of Girlfriends Past;Released;01/05/2009;102223269;115;FALSO;37500000;tt0821640;en;Ghosts of Girlfriends Past;Fantasy;58;2009.0;0.0;0.0;2.72595384
332210;Storks;Released;22/09/2016;182379278;87;FALSO;70000000;tt4624424;en;Storks;Adventure;68;2016.0;0.0;0.0;2.605418257142857
1429;25th Hour;Released;19/12/2002;23932055;135;FALSO;5000000;tt0307901;en;25th Hour;Crime;76;2002.0;0.0;0.0;4.786411
20453;3 Idiots;Released;23/12/2009;70000000;170;FALSO;9000000;tt1187043;hi;3 Idiots;Drama;84;2009.0;0.0;0.0;7.777777777777778
7347;Elite Squad;Released;12/10/2007;14759148;115;FALSO;4000000;tt0861739;pt;Tropa de Elite;Drama;80;2007.0;0.0;0.0;3.689787
96;Beverly Hills Cop II;Released;18/05/1987;299965036;103;FALSO;28000000;tt0092644;en;Beverly Hills Cop II;Action;66;1987.0;1.0;0.0;10.713037
400710;Flatliners;Released;28/09/2017;45158254;111;FALSO;19000000;tt2039338;en;Flatliners;Drama;52;2017.0;0.0;0.0;2.376750210526316
87818;Movie 43;Released;24/01/2013;32438988;90;FALSO;6000000;tt1333125;en;Movie 43;Comedy;44;2013.0;0.0;0.0;5.406498
8456;Never Back Down;Released;04/03/2008;41627431;115;FALSO;20000000;tt1023111;en;Never Back Down;Drama;66;2008.0;0.0;0.0;2.08137155
1607;A Bronx Tale;Released;14/09/1993;17287898;121;FALSO;10000000;tt0106489;en;A Bronx Tale;Drama;78;1993.0;0.0;0.0;1.7287898
401469;Widows;Released;06/11/2018;73866088;129;FALSO;42000000;tt4218572;en;Widows;Crime;68;2018.0;0.0;0.0;1.758716380952381
41216;Legend of the Guardians: The Owls of Ga'Hoole;Released;10/07/2010;140073390;97;FALSO;80000000;tt1219342;en;Legend of the Guardians: The Owls of Ga'Hoole;Animation;69;2010.0;0.0;0.0;1.750917375
549053;Last Christmas;Released;07/11/2019;121550750;102;FALSO;30000000;tt8623904;en;Last Christmas;Comedy;65;2019.0;0.0;0.0;4.051691666666667
80035;The Watch;Released;26/07/2012;68267862;102;FALSO;68000000;tt1298649;en;The Watch;Comedy;57;2012.0;0.0;0.0;1.0039391470588235
9494;Look Who's Talking;Released;12/10/1989;296999813;93;FALSO;7500000;tt0097778;en;Look Who's Talking;Comedy;60;1989.0;0.0;0.0;39.599975066666666
2082;Halloween;Released;31/08/2007;80460948;110;FALSO;15000000;tt0373883;en;Halloween;Horror;61;2007.0;0.0;0.0;5.3640632
3563;I Now Pronounce You Chuck & Larry;Released;12/07/2007;187134117;115;FALSO;85000000;tt0762107;en;I Now Pronounce You Chuck & Larry;Comedy;59;2007.0;0.0;0.0;2.2015778470588234
9350;Cliffhanger;Released;28/05/1993;255000211;112;FALSO;70000000;tt0106582;en;Cliffhanger;Action;65;1993.0;3.0;0.0;3.642860157142857
267193;Grimsby;Released;24/02/2016;27979040;83;FALSO;35000000;tt3381008;en;Grimsby;Action;62;2016.0;0.0;0.0;0.7994011428571428
243688;Poltergeist;Released;20/05/2015;95437994;93;FALSO;35000000;tt1029360;en;Poltergeist;Horror;49;2015.0;0.0;0.0;2.7267998285714286
814;An American Werewolf in London;Released;21/08/1981;31973249;97;FALSO;10000000;tt0082010;en;An American Werewolf in London;Comedy;75;1981.0;1.0;1.0;3.1973249
8195;Ronin;Released;25/09/1998;70692101;122;FALSO;55000000;tt0122690;en;Ronin;Action;72;1998.0;0.0;0.0;1.2853109272727272
87492;Foxcatcher;Released;14/11/2014;12096300;134;FALSO;24000000;tt1100089;en;Foxcatcher;Drama;70;2014.0;5.0;0.0;0.5040125
6972;Australia;Released;18/11/2008;211787511;165;FALSO;130000000;tt0455824;en;Australia;Adventure;66;2008.0;1.0;0.0;1.6291347
180299;The Raid 2;Released;27/03/2014;6566916;150;FALSO;4500000;tt2265171;id;The Raid 2: Berandal;Action;79;2014.0;0.0;0.0;1.4593146666666668
11459;Sky High;Released;29/07/2005;86369815;100;FALSO;35000000;tt0405325;en;Sky High;Adventure;63;2005.0;0.0;0.0;2.467709
9600;Big Momma's House;Released;31/05/2000;173959438;98;FALSO;30000000;tt0208003;en;Big Momma's House;Crime;53;2000.0;0.0;0.0;5.798647933333333
257088;Point Break;Released;03/12/2015;133718711;113;FALSO;105000000;tt2058673;en;Point Break;Action;53;2015.0;0.0;0.0;1.2735115333333333
481084;The Addams Family;Released;10/10/2019;204394183;86;FALSO;40000000;tt1620981;en;The Addams Family;Family;59;2019.0;0.0;0.0;5.109854575
428449;A Ghost Story;Released;24/04/2017;1929659;93;FALSO;100000;tt6265828;en;A Ghost Story;Fantasy;68;2017.0;0.0;0.0;19.29659
858;Sleepless in Seattle;Released;24/06/1993;227799884;105;FALSO;21000000;tt0108160;en;Sleepless in Seattle;Comedy;68;1993.0;2.0;0.0;10.847613523809525
11451;Herbie Fully Loaded;Released;22/06/2005;144146816;100;FALSO;50000000;tt0400497;en;Herbie Fully Loaded;Comedy;50;2005.0;0.0;0.0;2.88293632
12159;What Dreams May Come;Released;02/10/1998;71485043;113;FALSO;85000000;tt0120889;en;What Dreams May Come;Drama;70;1998.0;2.0;1.0;0.841000505882353
9384;Starsky & Hutch;Released;05/03/2004;170268750;101;FALSO;60000000;tt0335438;en;Starsky & Hutch;Comedy;61;2004.0;0.0;0.0;2.8378125
465136;Every Day;Released;22/02/2018;10421847;97;FALSO;4900000;tt7026672;en;Every Day;Fantasy;65;2018.0;0.0;0.0;2.126907551020408
522;Ed Wood;Released;27/09/1994;5887457;127;FALSO;18000000;tt0109707;en;Ed Wood;Comedy;78;1994.0;2.0;2.0;0.32708094444444447
42188;Never Let Me Go;Released;18/03/2010;9918093;104;FALSO;15000000;tt1334260;en;Never Let Me Go;Drama;71;2010.0;0.0;0.0;0.6612062
369557;Sing Street;Released;11/03/2016;13624522;106;FALSO;4000000;tt3544112;en;Sing Street;Comedy;79;2016.0;0.0;0.0;3.4061305
504;Monster;Released;24/12/2003;60378584;110;FALSO;8000000;tt0340855;en;Monster;Crime;73;2003.0;1.0;1.0;7.547323
13455;Push;Released;04/02/2009;49678401;111;FALSO;38000000;tt0465580;en;Push;Science Fiction;61;2009.0;0.0;0.0;1.3073263421052632
783;Gandhi;Released;30/11/1982;77737889;191;FALSO;22000000;tt0083987;en;Gandhi;Drama;80;1982.0;11.0;8.0;3.533540409090909
42297;Burlesque;Released;23/11/2010;89519773;119;FALSO;55000000;tt1126591;en;Burlesque;Drama;64;2010.0;0.0;0.0;1.6276322363636364
10320;The Ring Two;Released;10/03/2005;161451538;110;FALSO;50000000;tt0377109;en;The Ring Two;Drama;54;2005.0;0.0;0.0;3.22903076
10950;I Am Sam;Released;28/12/2001;92542418;132;FALSO;22000000;tt0277027;en;I Am Sam;Drama;76;2001.0;1.0;0.0;4.206473545454545
446791;All the Money in the World;Released;21/12/2017;56996304;132;FALSO;50000000;tt5294550;en;All the Money in the World;Crime;68;2017.0;1.0;0.0;1.13992608
168530;Ride Along;Released;07/01/2014;153997819;99;FALSO;25000000;tt1408253;en;Ride Along;Action;61;2014.0;0.0;0.0;6.15991276
9757;Norbit;Released;08/02/2007;159313561;102;FALSO;10000000;tt0477051;en;Norbit;Comedy;43;2007.0;1.0;0.0;15.9313561
4970;Gothika;Released;21/11/2003;141591324;98;FALSO;40000000;tt0348836;en;Gothika;Horror;58;2003.0;0.0;0.0;3.5397831
384680;Hostiles;Released;22/12/2017;36976336;134;FALSO;55000000;tt5478478;en;Hostiles;Western;72;2017.0;0.0;0.0;0.6722970181818182
346648;Paddington 2;Released;09/11/2017;227300000;104;FALSO;40000000;tt4468740;en;Paddington 2;Adventure;78;2017.0;0.0;0.0;5.6825
1262;Stranger Than Fiction;Released;09/09/2006;53653224;113;FALSO;30000000;tt0420223;en;Stranger Than Fiction;Comedy;75;2006.0;0.0;0.0;1.7884408
372343;The Snowman;Released;12/10/2017;43203413;119;FALSO;35000000;tt1758810;en;The Snowman;Crime;52;2017.0;0.0;0.0;1.2343832285714287
865;The Running Man;Released;13/11/1987;38122105;101;FALSO;27000000;tt0093894;en;The Running Man;Action;66;1987.0;0.0;0.0;1.4119298148148147
